Designator,Comment,Footprint,LCSC Part Number
C2-3,10uF,805,C15850
C4-14,100nF,603,C14663
D1,LED,805,C84256
D2,LED,805,C2296
D3-6,LED,805,C2297
D7-8,B5819W,SOD-123,C8598
Q1-16,MMBT3904,SOT-23,C20526
R1,470ohm,603,C23179
R11-17,1Kohm,603,C21190
R20-34,2K2ohm,603,C4190
R50-54,4K7ohm,603,C23162
R64-79,10Kohm,603,C25804
R81-84,330ohm,603,C23138
R90-94,0ohm,603,C21189
U2,AMS1117-5.0,SOT-223,C6187
U3-7,ADUM1201ARZ-RL7,SOIC-8,C9669
U8-11,EL357N(C),SOP-4-2.54mm,C29981
